peak	hg18_coords	classification	gene_id	gene_symbol	peak_exon_gene_symbol	differentially_expressed_cancer_type
24124	chr19:35895502-35895657_+	novel_intergenic				
24125	chr19:37569385-37569593_+	coding	NM_014910	ZNF507	ZNF507	
24126	chr19:37659027-37659261_+	all_mrna	AK127276			MLS_
24127	chr19:37668361-37668615_+	coding	NM_207325	DPY19L3	DPY19L3	
24128	chr19:37770059-37770175_+	coding	NM_004708	PDCD5	PDCD5	HN_
24129	chr19:37896395-37896532_+	coding	NM_001105570	NUDT19	NUDT19	
24130	chr19:38312873-38313146_+	coding	NM_018025	GPATCH1	GPATCH1	NPC_
24131	chr19:38313310-38313548_+	downstream	uc002nuh.1	GPATCH1		
24132	chr19:38389728-38390367_+	coding	NM_002333	LRP3	LRP3	HN_NPC_ESS_
24133	chr19:38391253-38391520_+	coding	NM_002333	LRP3	LRP3	
24136	chr19:38487530-38487701_+	Rinn	NR_026887	LOC80054	LOC80054	
24137	chr19:38487827-38487938_+	Rinn	BC027959			
24138	chr19:38562494-38562718_+	coding	NM_001806	CEBPG	CEBPG	HN_NPC_
24139	chr19:38565242-38565408_+	coding	NM_001806	CEBPG	CEBPG	
24143	chr19:38955874-38956230_+	coding	NM_001127895	CHST8	CHST8	SS_
24145	chr19:38994114-38994495_+	coding	NM_024076	KCTD15	KCTD15	
24146	chr19:38996479-38996985_+	coding	NM_024076	KCTD15	KCTD15	GIST_MLS_
24147	chr19:38997733-38997962_+	coding	NM_024076	KCTD15	KCTD15	
24148	chr19:38998084-38998416_+	coding	NM_024076	KCTD15	KCTD15	GIST_
24150	chr19:39090259-39090464_+	all_mrna	AK124080			HN_
24151	chr19:39386556-39386633_+	all_mrna	AK097939			HN_
24152	chr19:39387033-39387172_+	intron	NM_015578	LSM14A		
24153	chr19:39410719-39410856_+	coding	NM_015578	LSM14A	LSM14A	
24154	chr19:39411612-39412038_+	coding	NM_015578	LSM14A	LSM14A	
24156	chr19:39484095-39484145_+	intron	NM_014686	KIAA0355		
24157	chr19:39537788-39538320_+	coding	NM_014686	KIAA0355	KIAA0355	
24158	chr19:39582461-39582506_+	coding	NM_000175	GPI	GPI	
24159	chr19:39582636-39583314_+	coding	NM_000175	GPI	GPI	
24160	chr19:39584837-39584876_+	coding	BC006342	GPI	GPI	
24161	chr19:39584909-39585113_+	coding	DQ896173			
24162	chr19:39608728-39608890_+	coding	NM_032346	PDCD2L	PDCD2L	
24163	chr19:39653679-39653968_+	intron	EU176757			
24165	chr19:39683583-39683942_+	coding	NM_001080436	WTIP	WTIP	
24166	chr19:39688804-39689083_+	all_mrna	BC088728			
24167	chr19:39694745-39695027_+	novel_intergenic				
24168	chr19:39866840-39866901_+	all_mrna	AF265236	ZNF302	ZNF302	NPC_
24169	chr19:39869079-39869117_+	coding	NM_018443	ZNF302	ZNF302	NPC_
24170	chr19:39925510-39925597_+	coding	NM_001145665	ZNF181	ZNF181	
24171	chr19:40127713-40127891_+	coding	NM_001099438	ZNF30	ZNF30	NPC_
24173	chr19:40193028-40193475_+	coding	NM_001136199	GRAMD1A	GRAMD1A	GIST_
24174	chr19:40197365-40197477_+	intron	NM_001136199	GRAMD1A		MLS_
24176	chr19:40208787-40209189_+	coding	NM_001136199	GRAMD1A	GRAMD1A	HN_NPC_GIST_MLS_
24177	chr19:40222650-40223173_+	coding	NM_001037	SCN1B	SCN1B	HN_NPC_LMS_
24178	chr19:40230626-40230660_+	intron	NM_002151	HPN		Prostate_
24179	chr19:40248926-40249294_+	coding	NM_002151	HPN	HPN	Prostate_
24180	chr19:40296188-40296389_+	downstream	AY203941			
24181	chr19:40300259-40300483_+	intron	NM_001136010	FXYD3		NPC_
24182	chr19:40305506-40305793_+	coding	NM_021910	FXYD3	FXYD3	
24183	chr19:40305854-40306034_+	coding	NM_021910	FXYD3	FXYD3	Bladder_
24184	chr19:40306138-40306662_+	coding	NM_021910	FXYD3	FXYD3	HN_Bladder_NPC_GIST_
24185	chr19:40306688-40307075_+	coding	NM_021910	FXYD3	FXYD3	NPC_
24186	chr19:40325214-40325249_+	coding	NM_021902	FXYD1	FXYD1	
24187	chr19:40325462-40325532_+	coding	NM_021902	FXYD1	FXYD1	
24188	chr19:40325560-40325774_+	coding	NM_021902	FXYD1	FXYD1	
24189	chr19:40336767-40337030_+	coding	NM_022006	FXYD7	FXYD7	ESS_
24191	chr19:40348993-40349047_+	coding	NM_144779	FXYD5	FXYD5	
24192	chr19:40352260-40352691_+	coding	NM_144779	FXYD5	FXYD5	
24193	chr19:40449857-40450688_+	coding	NM_205835	LSR	LSR	GIST_
24194	chr19:40453188-40453316_+	coding	NM_207291	USF2	USF2	
24195	chr19:40461689-40461800_+	coding	NM_207291	USF2	USF2	
24196	chr19:40461904-40462539_+	coding	NM_207291	USF2	USF2	HN_
24197	chr19:40467628-40467862_+	coding	NM_021175	HAMP	HAMP	
24199	chr19:40529824-40530077_+	coding	NM_001771	CD22	CD22	NPC_
24200	chr19:40634244-40634482_+	coding	NM_005306	FFAR2	FFAR2	Prostate_
24205	chr19:40728710-40728905_+	all_mrna	CR603882			GIST_
24206	chr19:40729860-40729964_+	coding	NM_032635	TMEM147	TMEM147	
24207	chr19:40730027-40730257_+	coding	NM_032635	TMEM147	TMEM147	HN_NPC_
24208	chr19:40758528-40758572_+	novel_intergenic				
24209	chr19:40805614-40805881_+	coding	NM_015302	HAUS5	HAUS5	
24210	chr19:40806063-40806368_+	coding	NM_015302	HAUS5	HAUS5	MLS_
24211	chr19:40807767-40808068_+	coding	NM_015302	HAUS5	HAUS5	NPC_
24212	chr19:40819896-40820071_+	coding	NM_024321	RBM42	RBM42	
24213	chr19:40820181-40820417_+	coding	NM_024321	RBM42	RBM42	GIST_LMS_
24214	chr19:40827368-40827592_+	coding	NM_014209	ETV2	ETV2	
24215	chr19:40831047-40831122_+	coding	NM_001863	COX6B1	COX6B1	
24216	chr19:40833966-40834070_+	coding	NM_001863	COX6B1	COX6B1	
24217	chr19:40837309-40837395_+	coding	NM_001863	COX6B1	COX6B1	
24218	chr19:40841213-40841503_+	coding	NM_001863	COX6B1	COX6B1	LMS_
24219	chr19:40860883-40861188_+	coding	NM_007000	UPK1A	UPK1A	Bladder_
24220	chr19:40899536-40899764_+	coding	NM_014383	ZBTB32	ZBTB32	NPC_
24221	chr19:40902846-40903174_+	coding	NM_014727	MLL4	MLL4	NPC_MLS_
24222	chr19:40921027-40921219_+	coding	NM_014727	MLL4	MLL4	
24223	chr19:40921251-40921632_+	coding	NM_014727	MLL4	MLL4	HN_
24226	chr19:40929452-40929741_+	coding	NM_172341	PSENEN	PSENEN	LMS_
24229	chr19:40936980-40937248_+	coding	NM_019104	LIN37	LIN37	MLS_
24231	chr19:40944990-40945162_+	coding	NM_001039887	C19orf55	C19orf55	
24232	chr19:40951120-40951302_+	coding	NM_001039887	C19orf55	C19orf55	
24233	chr19:40953568-40953781_+	all_mrna	AK055219	C19orf55	C19orf55	NPC_
24234	chr19:40953889-40953942_+	downstream	AK055219	C19orf55		NPC_
24235	chr19:40970423-40970920_+	coding	NM_001172630	ARHGAP33	ARHGAP33	
24236	chr19:40970970-40971545_+	coding	NM_001172630	ARHGAP33	ARHGAP33	HN_LMS_
24237	chr19:41062094-41062515_+	coding	NM_005166	APLP1	APLP1	GIST_
24239	chr19:41086514-41086660_+	coding	NM_014266	HCST	HCST	
24240	chr19:41086807-41087072_+	coding	NM_014266	HCST	HCST	NPC_
24242	chr19:41127397-41127911_+	coding	NM_024509	LRFN3	LRFN3	HN_NPC_GIST_
24243	chr19:41129193-41129389_+	downstream	NM_024509	LRFN3		
24244	chr19:41178474-41179040_+	coding	NM_001042631	SDHAF1	SDHAF1	
24248	chr19:41287514-41287829_+	coding	NM_001083961	WDR62	WDR62	NPC_LMS_
24251	chr19:41308398-41308666_+	coding	NM_001281	TBCB	TBCB	GIST_
24252	chr19:41328934-41329033_+	coding	NM_001749	CAPNS1	CAPNS1	
24253	chr19:41330828-41331004_+	intron	NM_001749	CAPNS1		
24254	chr19:41332318-41332361_+	coding	NM_001749	CAPNS1	CAPNS1	
24255	chr19:41332534-41333346_+	coding	NM_001749	CAPNS1	CAPNS1	GIST_
24257	chr19:41421299-41421492_+	coding	NM_007145	ZNF146	ZNF146	Bladder_GIST_
24258	chr19:41760503-41760640_+	intron	uc002oei.2			
24259	chr19:41777200-41777425_+	ref_known_Gencode_nc	uc002oei.2			
24261	chr19:41987034-41987127_+	intron	uc002oev.1			
24262	chr19:42010637-42010828_+	Gencode_lnc	uc002oev.1			
24263	chr19:42062115-42062308_+	coding	NM_003419	ZNF345	ZNF345	
24264	chr19:42075635-42075751_+	ref_known_Gencode_nc	uc002oez.2	ZNF345	ZNF345	
24267	chr19:42185918-42186009_+	downstream	AL832834			
24268	chr19:42312805-42313081_+	all_mrna	AK056753	ZNF420	ZNF420	
24269	chr19:42431304-42431458_+	downstream	AK122892	ZNF383		
24270	chr19:42442123-42442159_+	intron	uc002ofv.2			
24271	chr19:42512276-42512434_+	Bartel	AK123379			MLS_
24272	chr19:42546955-42547121_+	coding	NM_181786	HKR1	HKR1	HN_
24274	chr19:42725453-42725689_+	coding	NM_001013659	ZNF793	ZNF793	
24275	chr19:42725900-42726064_+	coding	NM_001013659	ZNF793	ZNF793	
24276	chr19:42743544-42743678_+	intron	NM_152606	ZNF540		
24277	chr19:43090000-43090122_+	intron	NM_015073	SIPA1L3		
24278	chr19:43121645-43121728_+	intron	NM_015073	SIPA1L3		NPC_
24280	chr19:43390156-43390433_+	coding	NM_015073	SIPA1L3	SIPA1L3	
24281	chr19:43390523-43390827_+	coding	NM_015073	SIPA1L3	SIPA1L3	NPC_GIST_
24283	chr19:43474317-43474978_+	coding	NM_021102	SPINT2	SPINT2	NPC_GIST_
24284	chr19:43486851-43486959_+	coding	NM_033520	C19orf33	C19orf33	Bladder_
24285	chr19:43487038-43487143_+	coding	NM_033520	C19orf33	C19orf33	HN_Bladder_Skin_
24286	chr19:43487250-43487524_+	coding	NM_033520	C19orf33	C19orf33	HN_Bladder_
24288	chr19:43509653-43509988_+	coding	NM_004823	KCNK6	KCNK6	
24289	chr19:43510675-43510967_+	coding	NM_004823	KCNK6	KCNK6	
24290	chr19:43514329-43514585_+	downstream	uc002oid.1	KCNK6		
24291	chr19:43531900-43532025_+	ref_known_Gencode_nc	NM_021185	CATSPERG		
24292	chr19:43535252-43535416_+	intron	NM_021185	CATSPERG		NPC_
24293	chr19:43553162-43553399_+	coding	NM_021185	CATSPERG	CATSPERG	
24294	chr19:43565766-43566294_+	coding	NM_002812	PSMD8	PSMD8	LMS_
24295	chr19:43573557-43573700_+	intron	NM_001039616	SPRED3		
24296	chr19:43581712-43582043_+	downstream	NM_001042522	SPRED3		
24297	chr19:43590519-43590614_+	all_mrna	AK128745	FAM98C	FAM98C	
24298	chr19:43591174-43591576_+	coding	NM_174905	FAM98C	FAM98C	
24299	chr19:43769813-43770016_+	coding	NM_000540	RYR1	RYR1	
24301	chr19:43808505-43808632_+	coding	NM_013234	EIF3K	EIF3K	
24302	chr19:43815058-43815222_+	coding	NM_013234	EIF3K	EIF3K	
24303	chr19:43815567-43815828_+	all_mrna	AF090927			
24304	chr19:43817387-43817590_+	coding	NM_013234	EIF3K	EIF3K	
24305	chr19:43819173-43819414_+	coding	NM_013234	EIF3K	EIF3K	
24306	chr19:43911716-43912023_+	coding	NM_004924	ACTN4	ACTN4	
24307	chr19:43912207-43912320_+	coding	NM_004924	ACTN4	ACTN4	
24308	chr19:43912344-43912559_+	coding	NM_004924	ACTN4	ACTN4	GIST_
24309	chr19:43912621-43913114_+	coding	NM_004924	ACTN4	ACTN4	
24312	chr19:43922198-43922322_+	all_mrna	AL832896			
24317	chr19:44089920-44090214_+	coding	NM_002503	NFKBIB	NFKBIB	
24318	chr19:44091038-44091350_+	coding	NM_002503	NFKBIB	NFKBIB	LMS_
24320	chr19:44114788-44115485_+	coding	NM_021107	MRPS12	MRPS12	
24321	chr19:44360900-44361409_+	coding	NM_005884	PAK4	PAK4	
24322	chr19:44361438-44361862_+	coding	NM_005884	PAK4	PAK4	NPC_GIST_
24323	chr19:44383313-44383641_+	coding	NM_001001414	NCCRP1	NCCRP1	HN_
24324	chr19:44384074-44384340_+	coding	NM_001001414	NCCRP1	NCCRP1	HN_Skin_
24326	chr19:44534730-44534956_+	coding	NM_018028	SAMD4B	SAMD4B	NPC_
24327	chr19:44541017-44541071_+	intron	NM_018028	SAMD4B		NPC_
24328	chr19:44565981-44567364_+	coding	NM_018028	SAMD4B	SAMD4B	MLS_
24329	chr19:44567396-44568140_+	all_mrna	AK001073	SAMD4B	SAMD4B	
24331	chr19:44579903-44580542_+	coding	NM_017592	MED29	MED29	
24332	chr19:44582289-44582565_+	coding	NM_017592	MED29	MED29	Bladder_
24333	chr19:44582825-44583025_+	coding	NM_017592	MED29	MED29	
24334	chr19:44589333-44592129_+	coding	NM_003407	ZFP36	ZFP36	HN_
24335	chr19:44593421-44593812_+	downstream	BC009693	ZFP36		
24336	chr19:44593840-44594116_+	downstream	BC009693	ZFP36		
24338	chr19:44606729-44607532_+	coding	NM_022835	PLEKHG2	PLEKHG2	
24339	chr19:44607604-44608143_+	coding	NM_022835	PLEKHG2	PLEKHG2	MLS_
24340	chr19:44610693-44610868_+	coding	NM_022835	PLEKHG2	PLEKHG2	MLS_
24342	chr19:44656440-44656579_+	coding	NM_001111020	SUPT5H	SUPT5H	
24344	chr19:44657488-44657581_+	coding	uc002ols.1	SUPT5H	SUPT5H	
24345	chr19:44658735-44659129_+	coding	NM_001111020	SUPT5H	SUPT5H	
24346	chr19:44671019-44671102_+	coding	NM_001001563	TIMM50	TIMM50	
24347	chr19:44672195-44672618_+	coding	NM_001001563	TIMM50	TIMM50	LMS_
24355	chr19:45178916-45179168_+	coding	NM_006503	PSMC4	PSMC4	LMS_
24356	chr19:45180353-45180544_+	downstream	NM_006503	PSMC4		
24357	chr19:45346224-45346326_+	novel_intergenic				NPC_EWS_
24358	chr19:45412835-45413312_+	coding	NM_002446	MAP3K10	MAP3K10	
24364	chr19:45557251-45557461_+	coding	uc002onn.1	PLD3	PLD3	
24365	chr19:45558065-45558201_+	all_mrna	BX648310			
24368	chr19:45575729-45576209_+	coding	NM_012268	PLD3	PLD3	HN_GIST_
24373	chr19:45705078-45705160_+	intron	NM_020971	SPTBN4		ESS_
24374	chr19:45757980-45758226_+	coding	NM_025213	SPTBN4	SPTBN4	
24375	chr19:45773961-45774181_+	coding	NM_020971	SPTBN4	SPTBN4	ESS_
24376	chr19:45788717-45789123_+	coding	NM_138392	SHKBP1	SHKBP1	NPC_
24378	chr19:45823599-45823749_+	coding	NM_003573	LTBP4	LTBP4	
24379	chr19:45824710-45825076_+	coding	NM_003573	LTBP4	LTBP4	
24380	chr19:45825446-45825578_+	coding	NM_003573	LTBP4	LTBP4	
24381	chr19:45827137-45827542_+	coding	NM_003573	LTBP4	LTBP4	
24385	chr19:45935495-45935620_+	coding	NM_025194	ITPKC	ITPKC	NPC_
24386	chr19:45938135-45938860_+	coding	NM_025194	ITPKC	ITPKC	HN_
24388	chr19:45961326-45961398_+	coding	NM_004596	SNRPA	SNRPA	
24389	chr19:45962712-45963113_+	coding	NM_004596	SNRPA	SNRPA	EWS_
24390	chr19:45966914-45967093_+	intron	AF336885			NPC_
24391	chr19:45974712-45974813_+	coding	NM_006533	MIA	MIA	
24392	chr19:45978593-45978728_+	intron	NM_016154	RAB4B		NPC_
24393	chr19:45994311-45994665_+	coding	NM_016154	RAB4B	RAB4B	HN_GIST_
24394	chr19:46005497-46006038_+	coding	NM_053046	EGLN2	EGLN2	Breast_
24396	chr19:46148334-46148382_+	Bartel	NR_001278	CYP2B7P1	CYP2B7P1	LungAdeno_
24397	chr19:46404415-46405261_+	coding	NM_030622	CYP2S1	CYP2S1	
24398	chr19:46457296-46458018_+	coding	NM_021913	AXL	AXL	
24399	chr19:46458833-46459488_+	coding	NM_021913	AXL	AXL	LMS_
24402	chr19:46504189-46504759_+	coding	NM_144732	HNRNPUL1	HNRNPUL1	
24403	chr19:46504816-46505519_+	coding	NM_144732	HNRNPUL1	HNRNPUL1	
24404	chr19:46518081-46518425_+	coding	NM_052848	CCDC97	CCDC97	
24405	chr19:46518484-46518755_+	intron	NM_052848	CCDC97		
24406	chr19:46520333-46520688_+	coding	NM_052848	CCDC97	CCDC97	
24407	chr19:46521565-46522015_+	coding	NM_052848	CCDC97	CCDC97	HN_
24408	chr19:46522172-46522608_+	coding	NM_052848	CCDC97	CCDC97	MLS_
24409	chr19:46523515-46523738_+	intron	X03541			
24413	chr19:46571889-46572160_+	intron	NM_001098825	TMEM91		HN_
24414	chr19:46580512-46580664_+	coding	NM_001098821	TMEM91	TMEM91	
24415	chr19:46581427-46581816_+	coding	NM_001098821	TMEM91	TMEM91	EWS_
24418	chr19:46620386-46620583_+	coding	NM_000709	BCKDHA	BCKDHA	
24419	chr19:46622180-46622728_+	coding	NM_000709	BCKDHA	BCKDHA	
24421	chr19:46629060-46629337_+	all_mrna	AL833143	BCKDHA	BCKDHA	
24422	chr19:46734837-46735028_+	ref_known_Gencode_nc	AK123333			
24423	chr19:46764848-46764997_+	intron	uc002orc.1	CEACAM21		NPC_
24424	chr19:46784832-46784963_+	coding	NM_001098506	CEACAM21	CEACAM21	NPC_
24425	chr19:46925539-46925678_+	coding	NM_004363	CEACAM5	CEACAM5	Colon_
24426	chr19:46926181-46926254_+	coding	NM_004363	CEACAM5	CEACAM5	Colon_
24427	chr19:46967172-46967919_+	coding	NM_002483	CEACAM6	CEACAM6	LungAdeno_
24428	chr19:47007212-47007338_+	coding	NM_001815	CEACAM3	CEACAM3	
24429	chr19:47064997-47065069_+	coding	NM_001022	RPS19	RPS19	GIST_
24430	chr19:47065490-47065646_+	coding	NM_001022	RPS19	RPS19	EWS_MLS_
24431	chr19:47067061-47067252_+	intron	NM_001022	RPS19		
24432	chr19:47076782-47077254_+	coding	NM_021601	CD79A	CD79A	NPC_EWS_
24433	chr19:47102690-47103015_+	coding	NM_004706	ARHGEF1	ARHGEF1	EWS_
24434	chr19:47103053-47103425_+	coding	NM_004706	ARHGEF1	ARHGEF1	HN_EWS_
24435	chr19:47103562-47103730_+	intron	uc002osc.2	ARHGEF1		EWS_
24437	chr19:47125878-47126110_+	coding	uc002osc.2	ARHGEF1	ARHGEF1	EWS_
24440	chr19:47277082-47277534_+	coding	NM_022752	ZNF574	ZNF574	
24441	chr19:47353283-47353481_+	Rinn	uc002ost.1			
24444	chr19:47422771-47423021_+	coding	NM_133444	ZNF526	ZNF526	
24445	chr19:47424079-47424110_+	coding	NM_133444	ZNF526	ZNF526	NPC_
24450	chr19:47428690-47428936_+	downstream	AK055681	ZNF526		NPC_
24455	chr19:47490797-47491491_+	coding	NM_015125	CIC	CIC	
24456	chr19:47491539-47491765_+	coding	NM_015125	CIC	CIC	EWS_
24458	chr19:47506394-47506797_+	coding	NM_199285	PRR19	PRR19	MLS_
24459	chr19:47520686-47521033_+	coding	NM_173633	TMEM145	TMEM145	ESS_
24460	chr19:47574242-47574971_+	coding	NM_001410	MEGF8	MEGF8	HN_
24464	chr19:47604190-47604471_+	intron	uc010eif.1			
24465	chr19:47605146-47605252_+	intron	uc010eif.1			NPC_
24466	chr19:47615680-47615825_+	intron	uc010eif.1			
24468	chr19:48558331-48558550_+	coding	NM_020406	CD177	CD177	NPC_
24473	chr19:48731786-48732105_+	coding	NM_174945	ZNF575	ZNF575	
24475	chr19:48777856-48778071_+	coding	uc002owu.1			
24478	chr19:48795058-48795487_+	coding	NM_024327	ZNF576	ZNF576	NPC_
24479	chr19:48795677-48796020_+	coding	NM_024327	ZNF576	ZNF576	NPC_
24481	chr19:48810204-48810410_+	coding	NM_001145641	SRRM5	SRRM5	
24482	chr19:48816236-48816466_+	novel_intergenic				
24484	chr19:48819463-48819639_+	intron				
24493	chr19:49194074-49194178_+	coding	NM_003445	ZNF155	ZNF155	
24495	chr19:49285359-49285581_+	all_mrna	CR936662	ZNF284	ZNF284	NPC_
24497	chr19:49305502-49305820_+	downstream	AK292500			
24499	chr19:49354825-49355002_+	coding	NM_006630	ZNF234	ZNF234	NPC_
24501	chr19:49373532-49373653_+	coding	NM_001032373	ZNF226	ZNF226	NPC_
24502	chr19:49433056-49433238_+	coding	NM_182490	ZNF227	ZNF227	NPC_
24503	chr19:49858179-49858883_+	coding	NM_001135768	PVR	PVR	
24504	chr19:49860957-49861245_+	coding	NM_001135768	PVR	PVR	
24505	chr19:49878768-49879456_+	coding	NM_020219	CEACAM19	CEACAM19	
24507	chr19:49953344-49953496_+	coding	NM_005178	BCL3	BCL3	
24508	chr19:49953803-49953919_+	coding	NM_005178	BCL3	BCL3	
24509	chr19:49954522-49955117_+	coding	NM_005178	BCL3	BCL3	Breast_
24510	chr19:49989185-49989395_+	coding	NM_001130852	CBLC	CBLC	
24511	chr19:49995391-49995825_+	coding	NM_001130852	CBLC	CBLC	HN_NPC_GIST_
24512	chr19:49997177-49997207_+	downstream	NM_001130852	CBLC		NPC_
24513	chr19:49997230-49997277_+	downstream	NM_001130852	CBLC		NPC_
24514	chr19:49998842-49999095_+	downstream	NM_001130852	CBLC		Bladder_NPC_
24515	chr19:50014677-50015705_+	coding	NM_005581	BCAM	BCAM	Prostate_
24516	chr19:50015733-50015895_+	coding	NM_005581	BCAM	BCAM	Prostate_
24517	chr19:50016008-50016510_+	coding	NM_005581	BCAM	BCAM	Prostate_
24518	chr19:50073602-50074014_+	coding	NM_002856	PVRL2	PVRL2	NPC_
24521	chr19:50084204-50084265_+	coding	NM_001042724	PVRL2	PVRL2	
24522	chr19:50102849-50103025_+	coding	NM_000041	APOE	APOE	
24523	chr19:50103621-50104494_+	coding	NM_000041	APOE	APOE	LMS_
24524	chr19:50111256-50111420_+	coding	NM_001645	APOC1	APOC1	
24525	chr19:50114266-50114325_+	coding	NM_001645	APOC1	APOC1	NPC_
24526	chr19:50114346-50114421_+	coding	NM_001645	APOC1	APOC1	NPC_
24527	chr19:50144247-50144547_+	coding	NM_000483	APOC2	APOC2	NPC_
24528	chr19:50181062-50181170_+	intron	NM_001294	CLPTM1		
24529	chr19:50187705-50188423_+	coding	NM_001294	CLPTM1	CLPTM1	HN_GIST_
24530	chr19:50207237-50207441_+	coding	NM_006509	RELB	RELB	
24531	chr19:50212316-50212435_+	intron	NM_006509	RELB		NPC_
24532	chr19:50233066-50233277_+	coding	NM_006509	RELB	RELB	NPC_
24535	chr19:50264988-50265195_+	coding	NM_007056	SFRS16	SFRS16	
24536	chr19:50265608-50266049_+	coding	NM_007056	SFRS16	SFRS16	MLS_
24537	chr19:50285819-50285942_+	coding	NM_001007270	GEMIN7	GEMIN7	NPC_
24538	chr19:50319670-50319768_+	intron	uc002pas.2			NPC_
24541	chr19:50341922-50342379_+	coding	uc002pat.2			
24543	chr19:50376435-50376880_+	coding	NM_212550	BLOC1S3	BLOC1S3	
24544	chr19:50407271-50407591_+	downstream				
24545	chr19:50494004-50494058_+	intron	NM_031417	MARK4		
24546	chr19:50497624-50497917_+	coding	NM_031417	MARK4	MARK4	
24547	chr19:50498010-50498766_+	coding	NM_031417	MARK4	MARK4	NPC_
24549	chr19:50546379-50546607_+	coding	NM_177417	KLC3	KLC3	HN_
24551	chr19:50603458-50604310_+	coding	NM_012099	CD3EAP	CD3EAP	
24552	chr19:50604598-50604878_+	coding	NM_012099	CD3EAP	CD3EAP	
24553	chr19:50605681-50605763_+	coding	NM_012099	CD3EAP	CD3EAP	
24554	chr19:50666943-50667048_+	coding	uc002pbw.2	FOSB	FOSB	
24555	chr19:50667661-50668150_+	coding	NM_001114171	FOSB	FOSB	
24556	chr19:50668189-50670267_+	coding	NM_001114171	FOSB	FOSB	
24560	chr19:50697111-50697392_+	coding	NM_001080401	PPM1N	PPM1N	Bladder_NPC_
24561	chr19:50697432-50697778_+	coding	NM_001080401	PPM1N	PPM1N	Bladder_
24562	chr19:50721234-50721633_+	coding	NM_003370	VASP	VASP	
24563	chr19:50721666-50722097_+	coding	NM_003370	VASP	VASP	LMS_
24565	chr19:50878213-50878796_+	downstream	NM_000164	GIPR		MLS_
24569	chr19:50963888-50964202_+	Gencode_lnc	CR622406			
24570	chr19:50964233-50965216_+	all_mrna	CR622406			MLS_
24571	chr19:50967292-50967617_+	all_mrna	AK309505			
24572	chr19:50968277-50968529_+	downstream	AK309505			
24578	chr19:51068667-51068817_+	coding	NM_004497	FOXA3	FOXA3	Colon_
24582	chr19:51213382-51213690_+	coding	NM_001080402	CCDC61	CCDC61	HN_GIST_
24583	chr19:51356149-51356372_+	coding	NM_001002915	IGFL2	IGFL2	HN_
24584	chr19:51425901-51426315_+	coding	NM_198541	IGFL1	IGFL1	Skin_
24585	chr19:51508364-51508442_+	all_mrna	BC026308	HIF3A	HIF3A	GIST_
24586	chr19:51526367-51526546_+	coding	NM_152795	HIF3A	HIF3A	GIST_
24587	chr19:51534761-51535133_+	coding	NM_152795	HIF3A	HIF3A	GIST_
24588	chr19:51537891-51538506_+	coding	NM_152795	HIF3A	HIF3A	GIST_MLS_
24589	chr19:51585369-51585925_+	coding	NM_006247	PPP5C	PPP5C	HN_GIST_
24590	chr19:51587753-51587908_+	ref_known_Gencode_nc	uc002peo.2	PPP5C	PPP5C	
24592	chr19:51691345-51691572_+	coding	uc002peu.1			MLS_
24593	chr19:51803923-51804059_+	coding	NM_005184	CALM3	CALM3	
24594	chr19:51804218-51804667_+	coding	NM_005184	CALM3	CALM3	
24595	chr19:51804775-51805550_+	coding	NM_005184	CALM3	CALM3	Prostate_
24596	chr19:51805573-51805867_+	coding	NM_005184	CALM3	CALM3	HN_
24601	chr19:51943120-51943163_+	coding	NM_024301	FKRP	FKRP	
24602	chr19:51943611-51943716_+	coding	NM_024301	FKRP	FKRP	
24603	chr19:51953064-51953660_+	coding	NM_024301	FKRP	FKRP	MLS_
24605	chr19:51983922-51984186_+	all_mrna	BC000986			
24606	chr19:52031067-52031179_+	intron	BX538265			
24608	chr19:52084614-52084772_+	intron	BX538265			NPC_
24610	chr19:52195424-52195706_+	coding	NM_004491	GRLF1	GRLF1	
24611	chr19:52196107-52196557_+	coding	NM_004491	GRLF1	GRLF1	GIST_
24613	chr19:52199137-52199672_+	coding	NM_004491	GRLF1	GRLF1	GIST_
24614	chr19:52199926-52200163_+	coding	NM_004491	GRLF1	GRLF1	
24615	chr19:52240512-52240909_+	coding	NM_002517	NPAS1	NPAS1	ESS_
24618	chr19:52367782-52367850_+	intron	NR_027280	SAE1		NPC_
24619	chr19:52405085-52405179_+	coding	NR_027280	SAE1	SAE1	
24620	chr19:52405602-52405709_+	coding	NR_027280	SAE1	SAE1	
24621	chr19:52466838-52467031_+	coding	NM_015603	CCDC9	CCDC9	
24622	chr19:52468704-52468950_+	downstream	BC002787	CCDC9		
24623	chr19:52470023-52470796_+	coding	NM_178511	PRR24	PRR24	GIST_
24624	chr19:52516922-52517031_+	coding	NM_001736	C5AR1	C5AR1	
24625	chr19:52517054-52517146_+	coding	NM_001736	C5AR1	C5AR1	NPC_
24628	chr19:52577056-52577351_+	coding	NM_014681	DHX34	DHX34	
24629	chr19:52577378-52577767_+	coding	NM_014681	DHX34	DHX34	
24635	chr19:52897874-52898030_+	coding	NM_015711	GLTSCR1	GLTSCR1	
24636	chr19:52898052-52898322_+	coding	NM_015711	GLTSCR1	GLTSCR1	NPC_
24637	chr19:52920232-52920330_+	intron	NM_014601	EHD2		
24638	chr19:52926183-52926319_+	intron	NM_014601	EHD2		
24639	chr19:52936170-52936774_+	coding	NM_014601	EHD2	EHD2	
24640	chr19:52936813-52937175_+	coding	NM_014601	EHD2	EHD2	GIST_
