nct	om_title	group_title	evaluable_n	era	family	trial_conditions	n_trial_conditions	n_disease_keys	n_disease_keys_lenient	disease_status	disease_specificity	attributed_key	disease_value	disease_basis	trial_phases	phase_status	phase_value	phase_group_hint	registry_arm_label	registry_arm_type	arm_match_quality	n_arms_registered	registry_has_control_arm	control_status	control_basis	control_flag	producer_control_arm_candidate	group_description	registry_arm_description
NCT02584829	Disease Response, as Assessed by Response Evaluation Criteria in Solid Tumors Version 1.1	Group 2 (Avelumab, MHC Class I Up-regulation, T Cells)	6	2014_2017	bor	Merkel Cell Polyomavirus Infection ; Stage IV Merkel Cell Carcinoma AJCC v7	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE1/PHASE2	MIXED	PHASE1/PHASE2		Group 2 (avelumab, MHC class I up-regulation, T cells)	EXPERIMENTAL	NORMALIZED	2	False	NOT_CONTROL	registry arm 'Group 2 (avelumab, MHC class I up-regulation, T cells)' type=EXPERIMENTAL (NORMALIZED match)		False	Patients who have an HLA type for which T cells can be generated receive avelumab IV over 1 hour every 2 weeks for 12 months. Patients also receive MHC class I up-regulation intervention as in Group 1 between 7-10 days after the first infusion of avelumab and 2-5 days before the first infusion of MCPyV TAg-specific polyclonal autologous CD8+ T cells. Patients receive two infusions of MCPyV TAg-spe	Patients who have an HLA type for which T cells can be generated receive avelumab IV over 1 hour every 2 weeks for 12 months. Patients also receive MHC class I up-regulation intervention as in Group 1 between 7-10 days after the first infusion of avelumab and 2-5 days before the first infusion of MCPyV TAg-specific polyclonal autologous CD8+ T cells. Patients receive two infusions of MCPyV TAg-spe
NCT02593786	Best Overall Response (BOR)	Cohort A: Nivolumab 3 mg/kg Q2W	14	2014_2017	bor	Solid Tumors	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Solid Tumors	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2				NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Participants receive nivolumab (3 mg/kg) administered as 4 doses in each 8-week treatment cycle at Days 1, 15, 29 and 43.	
NCT02593786	Best Overall Response (BOR)	Cohort B: Nivolumab 240 mg Q2W	19	2014_2017	bor	Solid Tumors	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Solid Tumors	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2				NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Participants receive a flat dose of nivolumab (240 mg) administered as 4 doses in each 8-week treatment cycle at Days 1, 15, 29 and 43.	
NCT02593786	Best Overall Response (BOR)	Cohort C: Nivolumab 360 mg Q3W	11	2014_2017	bor	Solid Tumors	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Solid Tumors	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2				NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Participants receive a flat dose of nivolumab (360 mg) administered as one dose in each 3-week treatment cycle.	
NCT02593786	Best Overall Response (BOR)	Cohort D: Nivolumab 480 mg Q4W	12	2014_2017	bor	Solid Tumors	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Solid Tumors	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2				NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Participants receive a flat dose of nivolumab (480 mg) in each 4-week treatment cycle	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Dose Ranging Part: MBG453 1200mg Q4W	12	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2				NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 1200 mg Q4W in Dose Ranging Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Dose Ranging Part: MBG453 240mg Q4W	15	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2				NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg Q4W in Dose Ranging Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Dose Ranging Part: MBG453 80mg Q4W	11	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2				NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 80 mg Q4W in Dose Ranging Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 1200mg Q2W Japan	2	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 1200 mg Q2W in Phase I Dose Escalation Part in Japanese participants	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 1200mg Q2W ROW	5	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 1200 mg Q2W in Phase I Dose Escalation Part in ROW patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 1200mg Q4W Japan	6	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 1200 mg Q4W in Phase I Dose Escalation Part in Japanese patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 1200mg Q4W ROW	4	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 1200 mg Q4W in Phase I Dose Escalation Part in ROW patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 240mg Q2W Japan	4	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg Q2W in Phase I Dose Escalation Part in Japanese patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 240mg Q2W ROW	9	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg Q2W in Phase I Dose Escalation Part in ROW patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 240mg Q4W ROW	6	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg every 4 weeks (Q4W) in Phase I Dose Escalation Part in ROW patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 800mg Q2W Japan	6	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 800 mg Q2W in Phase I Dose Escalation Part in Japanese patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 800mg Q2W ROW	15	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 800 mg Q2W in Phase I Dose Escalation Part in ROW patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 800mg Q4W ROW	5	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 800 mg Q4W in Phase I Dose Escalation Part in ROW patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 80mg Q2W Japan	2	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 80 mg Q2W in Phase I Dose Escalation Part in Japanese patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase I Dose Escalation: MBG453 80mg Q2W ROW	11	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 80 mg every 2 weeks (Q2W) in Phase I Dose Escalation Part in rest of the world (ROW) patients	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase II: MBG453 + PDR001 Melanoma	15	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase II			AMBIGUOUS_MULTI	10	False	UNKNOWN	no strong arm match (AMBIGUOUS_MULTI) and no control language in the group record		False	Sabatolimab 800 mg Q4W in combination with spartalizumab 400 mg Q4W in melanoma	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase II: MBG453 + PDR001 NSCLC	11	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase II			AMBIGUOUS_MULTI	10	False	UNKNOWN	no strong arm match (AMBIGUOUS_MULTI) and no control language in the group record		False	Sabatolimab 800 mg Q4W in combination with spartalizumab 400 mg Q4W in non-small cell lung carcinoma (NSCLC)	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 1200mg Q4W + PDR001 400mg Q4W	4	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 1200 mg Q4W in combination with spartalizumab 400 mg Q4W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 20mg Q2W + PDR001 80mg Q2W	6	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 20 mg Q2W in combination with spartalizumab 80 mg Q2W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 240mg Q2W + PDR001 240mg Q2W	5	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg Q2W in combination with spartalizumab 240 mg Q2W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 240mg Q2W + PDR001 80mg Q2W	6	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg Q2W in combination with spartalizumab 80 mg Q2W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 240mg Q4W + PDR001 240mg Q4W	5	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg Q4W in combination with spartalizumab 240 mg Q4W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 240mg Q4W + PDR001 400mg Q4W	5	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg Q4W in combination with spartalizumab 400 mg Q4W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 240mg Q4W + PDR001 80mg Q4W	12	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 240 mg Q4W in combination with spartalizumab 80 mg Q4W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 800mg Q2W + PDR001 240mg Q2W	5	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 800 mg Q2W in combination with spartalizumab 240 mg Q2W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 800mg Q2W + PDR001 80mg Q2W	4	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 800 mg Q2W in combination with spartalizumab 80 mg Q2W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 800mg Q4W + PDR001 400mg Q4W	6	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 800 mg Q4W in combination with spartalizumab 400 mg Q4W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 80mg Q2W + PDR001 80mg Q2W	12	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 80 mg Q2W in combination with spartalizumab 80 mg Q2W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 80mg Q4W + PDR001 400mg Q4W	2	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 80 mg Q4W in combination with spartalizumab 400 mg Q4W in Phase Ib Dose Escalation Part	
NCT02608268	Best Overall Response (BOR) Per RECIST v1.1	Phase Ib Dose Escalation: MBG453 80mg Q4W + PDR001 80mg Q4W	6	2014_2017	bor	Advanced Malignancies	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	advanced malignancies	Advanced Malignancies	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Dose Escalation			NONE	10	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Sabatolimab 80 mg Q4W in combination with spartalizumab 80 mg Q4W in Phase Ib Dose Escalation Part	
NCT02625610	Best Overall Response (BOR) by Investigator Assessment	Avelumab	210	2014_2017	bor	Unresectable, Locally Advanced or Metastatic, Adenocarcinoma of the Stomach, or of the Gastro Esophageal Junction	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	or adenocarcinoma of the stomach or of the gastro esophageal junction	Unresectable, Locally Advanced or Metastatic, Adenocarcinoma of the Stomach, or of the Gastro Esophageal Junction	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3		Avelumab	EXPERIMENTAL	EXACT	2	False	NOT_CONTROL	registry arm 'Avelumab' type=EXPERIMENTAL (EXACT match)		False	Oxaliplatin was administered at a dose of 85 mg per square meter (mg/m\^2) as a continuous intravenous (IV) infusion on Day 1 along with leucovorin at a dose of 200 mg/m\^2 or 400 mg/m\^2 on Day 1 followed by 5-Fluorouracil at a dose of 2600 mg/m\^2 IV continuous infusion over 24 hours on Day 1 or at 400 mg/m\^2 IV push on Day 1 and 2400 mg/m\^2 IV continuous infusion over 46-48 hours (Day 1 and 2	In Maintenance phase, participants received avelumab as a 1-hour intravenous (IV) infusion at 10 milligrams per kilogram (mg/kg) once every 2-week treatment cycle until progressive disease or unacceptable toxicity or discontinuation.
NCT02625610	Best Overall Response (BOR) by Investigator Assessment	Chemotherapy + Best Supportive Care (BSC)	211	2014_2017	bor	Unresectable, Locally Advanced or Metastatic, Adenocarcinoma of the Stomach, or of the Gastro Esophageal Junction	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	or adenocarcinoma of the stomach or of the gastro esophageal junction	Unresectable, Locally Advanced or Metastatic, Adenocarcinoma of the Stomach, or of the Gastro Esophageal Junction	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3		Chemotherapy + Best Supportive Care (BSC)	EXPERIMENTAL	EXACT	2	False	NOT_CONTROL	registry arm 'Chemotherapy + Best Supportive Care (BSC)' type=EXPERIMENTAL (EXACT match)		True	Oxaliplatin was administered at a dose of 85 mg per square meter (mg/m\^2) as a continuous intravenous (IV) infusion on Day 1 along with leucovorin at a dose of 200 mg/m\^2 or 400 mg/m\^2 on Day 1 followed by 5-Fluorouracil at a dose of 2600 mg/m\^2 IV continuous infusion over 24 hours on Day 1 or at 400 mg/m\^2 IV push on Day 1 and 2400 mg/m\^2 IV continuous infusion over 46-48 hours (Day 1 and 2	In Maintenance Phase, participants continued the same regimen of oxaliplatin-fluoropyrimidine doublet chemotherapy (oxaliplatin + 5FU/LV or oxaliplatin + capecitabine) as they received during the Induction Phase until disease progression, significant clinical deterioration, unacceptable toxicity, or discontinuation. Participants who were not deemed eligible to receive chemotherapy at the dose and 
NCT02625623	Best Overall Response (BOR)	Avelumab + BSC	128	2014_2017	bor	Unresectable, Recurrent, Locally Advanced or Metastatic Gastric or Gastroesophageal Junction Adenocarcinoma ; Gastric Cancer Third Line	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE3	TRIAL_SINGLE	PHASE3		Avelumab+BSC	ACTIVE_COMPARATOR	NORMALIZED	2	True	CONTROL_ACTIVE_COMPARATOR	registry arm 'Avelumab+BSC' type=ACTIVE_COMPARATOR (NORMALIZED match)		True	Participants received avelumab as a 1-hour intravenous (IV) infusion at 10 milligram per kilogram (mg/kg) once every 2-week treatment cycle until progressive disease or unacceptable toxicity along with BSC. BSC was defined as treatment administered with the intent to maximize quality of life without a specific antineoplastic regimen and was based on investigator's discretion.	Participants received avelumab as a 1-hour intravenous (IV) infusion at 10 milligram per kilogram (mg/kg) once every 2-week treatment cycle until confirmed progressive disease or unacceptable toxicity along with BSC. BSC is defined as treatment administered with the intent to maximize quality of life without a specific antineoplastic regimen and is based on investigator's discretion.
NCT02625623	Best Overall Response (BOR)	Physician Choice Chemotherapy + Best Supportive Care (BSC)	129	2014_2017	bor	Unresectable, Recurrent, Locally Advanced or Metastatic Gastric or Gastroesophageal Junction Adenocarcinoma ; Gastric Cancer Third Line	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE3	TRIAL_SINGLE	PHASE3		Physician choice chemotherapy+Best Supportive Care (BSC)	EXPERIMENTAL	NORMALIZED	2	True	NOT_CONTROL	registry arm 'Physician choice chemotherapy+Best Supportive Care (BSC)' type=EXPERIMENTAL (NORMALIZED match)		True	Participants received BSC plus physician's choice chemotherapy. Chemotherapy comprised of one of the following: intravenous (IV) infusion of paclitaxel at a dose of 80 milligrams per meter square (mg/m\^2) on Days 1, 8 and 15 of a 4-week treatment cycle until progressive disease or unacceptable toxicity OR irinotecan at a dose of 150 mg/m\^2 on Days 1 and 15 of a 4-week treatment cycle until progr	Participants received BSC plus physician's choice chemotherapy. Chemotherapy comprises of one of the following: paclitaxel at a dose of 80 milligram per meter square (mg/m\^2) on Days 1, 8, and 15 of a 4-week treatment cycle until confirmed progressive disease or unacceptable toxicity OR irinotecan at a dose of 150 mg/m\^2 on Days 1 and 15 of a 4-week treatment cycle until confirmed progressive di
NCT02626000	Best Overall Confirmed Response	Talimogene Laherparepvec + Pembrolizumab	17	2014_2017	bor	Carcinoma of the Head and Neck	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	of the head and neck	Carcinoma of the Head and Neck	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1		Talimogene Laherparepvec + Pembrolizumab	EXPERIMENTAL	EXACT	1	False	NOT_CONTROL	registry arm 'Talimogene Laherparepvec + Pembrolizumab' type=EXPERIMENTAL (EXACT match)		False	Talimogene laherparepvec was administered by intralesional injection into injectable cutaneous, subcutaneous, and nodal lesions at an initial dose of 10⁶ plaque-forming units (PFU) per mL on day 1 followed by a dose of 10⁸ PFU/mL every 3 weeks (Q3W) thereafter. Pembrolizumab was administered by intravenous infusion at a dose of 200 mg Q3W.  Participants were treated until complete response, no inj	Talimogene laherparepvec is administered by intralesional injection into injectable cutaneous, subcutaneous, and nodal lesions at an initial dose of 10⁶ plaque-forming units (PFU) per mL on day 1 followed by a dose of 10⁸ PFU/mL 3 weeks after the initial dose and every 3 weeks (Q3W) thereafter. Pembrolizumab is administered by intravenous infusion at a dose of 200 mg Q3W after the initial dose. Pa
NCT02644278	Part A: Number of Participants With Best Overall Response Evaluated by Response Criteria Evaluation (RECIST 1.1)	VX-984 120 mg + PLD 40 mg/m^2	2	2014_2017	bor	Advanced Solid Tumor	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Advanced Solid Tumor	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1	Part A	VX-984 120 mg + PLD 40 mg/m^2	EXPERIMENTAL	EXACT	4	False	NOT_CONTROL	registry arm 'VX-984 120 mg + PLD 40 mg/m^2' type=EXPERIMENTAL (EXACT match)		False	Participants received VX-984 orally 120 milligram (mg) once daily alone on Days -14 to -12 of a 14-day Lead-in Period, followed by VX-984 120 mg in combination with pegylated liposomal doxorubicin (PLD) 40 milligram per square meter (mg/m\^2) administered intravenous infusion, with PLD administered on Day 1 and VX-984 administered on Day 2 to Day 4 for up to six 28-day cycle or until disease progr	
NCT02644278	Part A: Number of Participants With Best Overall Response Evaluated by Response Criteria Evaluation (RECIST 1.1)	VX-984 240 mg + PLD 40 mg/m^2	3	2014_2017	bor	Advanced Solid Tumor	1	1	1	TRIAL_SINGLE	NOT_A_DISEASE_UMBRELLA	solid	Advanced Solid Tumor	trial lists exactly one condition	PHASE1	TRIAL_SINGLE	PHASE1	Part A	VX-984 240 mg + PLD 40 mg/m^2	EXPERIMENTAL	EXACT	4	False	NOT_CONTROL	registry arm 'VX-984 240 mg + PLD 40 mg/m^2' type=EXPERIMENTAL (EXACT match)		False	Participants received VX-984 orally 240 mg orally once daily alone on Days -14 to -12 of a 14-day Lead-in Period, followed by VX-984 240 mg in combination with PLD 40 mg/m\^2 administered intravenous infusion, with PLD administered on Day 1 and VX-984 administered on Day 2 to Day 4 for up to six 28-day cycle or until disease progression unacceptable toxicities, withdrawal of consent, or until expo	
